pkg,dep,used
azure,urllib3,1
azure,typing,1
azure,oauthlib,1
azure,requests,1
azure,certifi,1
azure,chardet,1
azure,idna,1
azure,azure,1
azure,_openssl,1
azure,_cffi_backend,1
azure,pycparser,1
azure,requests_oauthlib,1
azure,ipaddress,1
azure,enum,1
azure,six,1
azure,concurrent,1
azure,msrest,1
azure,isodate,1
xdist,py,1
xdist,pathlib2,1
xdist,_scandir,1
xdist,pluggy,1
xdist,importlib_metadata,1
xdist,backports,1
xdist,contextlib2,1
pandas,pandas,1
xdist,pyparsing,1
xdist,zipp,1
xdist,wcwidth,1
xdist,packaging,1
azure,dateutil,1
xdist,funcsigs,1
xdist,more_itertools,1
django,django,1
xdist,attr,1
xdist,atomicwrites,1
xdist,_pytest,1
xdist,execnet,1
xdist,xdist,1
xdist,pytest_forked,1
pytest_timeout,six,0
pytest_timeout,zipp,0
pytest_timeout,contextlib2,0
pytest_timeout,_scandir,0
pytest_timeout,more_itertools,0
pytest_timeout,packaging,0
pytest_timeout,pyparsing,0
pytest_timeout,pathlib2,0
pytest_timeout,backports,0
pytest_timeout,pluggy,0
pytest_timeout,importlib_metadata,0
pytest_timeout,wcwidth,0
pytest_timeout,py,0
amazondax,amazondax,0
forecastio,forecastio,0
scrapinghub,certifi,0
sendgrid,ellipticcurve,0
sendgrid,python_http_client,0
sendgrid,sendgrid,0
scrapinghub,retrying,0
scrapinghub,urllib3,0
scrapinghub,idna,0
scrapinghub,chardet,0
scrapinghub,requests,0
rest_condition,rest_framework,0
scrapinghub,scrapinghub,0
skbuild,wheel,0
skbuild,easy_install,0
skbuild,distro,0
skbuild,skbuild,0
rules,rules,0
rsa,pyasn1,0
setuptools_scm,setuptools_scm,0
simplecrypt,simplecrypt,0
simplecrypt,Crypto,0
sklearn_pandas,dateutil,0
sklearn_pandas,numpy,0
sklearn_pandas,pandas,0
sklearn_pandas,sklearn_pandas,0
simple_salesforce,ipaddress,0
simple_salesforce,enum,0
simple_salesforce,pycparser,0
simple_salesforce,_cffi_backend,0
simple_salesforce,_openssl,0
simple_salesforce,authlib,0
simple_salesforce,simple_salesforce,0
rsa,rsa,0
rest_condition,pytz,0
slugify,slugify,0
openid,openid,0
pythonjsonlogger,pythonjsonlogger,0
_geohash,_geohash,0
rest_condition,django,0
forecastio,funcsigs,0
forecastio,mock,0
forecastio,cookies,0
forecastio,responses,0
slugify,text_unidecode,0
snappy,snappy,0
onelogin,onelogin,0
rest_condition,rest_condition,0
requests_mock,requests_mock,0
repoze,repoze,0
rediscluster,redis,0
rediscluster,rediscluster,0
raven,raven,0
pytimeparse,pytimeparse,0
onelogin,lxml,0
onelogin,xmlsec,0
onelogin,isodate,0
pytest_django,pytest_django,0
pytest_cov,toml,0
pytest_django,_pytest,0
pytest_django,atomicwrites,0
pytest_django,attr,0
pytest_cov,coverage,0
pytest_cov,pytest_cov,0
sklearn_pandas,sklearn,0
pytest_timeout,pytest_timeout,0
pytest_splinter,selenium,0
pytest_splinter,splinter,0
pytest_mock,pytest_mock,0
pytest_splinter,pytest_splinter,0
ptr,ptr,0
gitdb,gitdb,0
hyperframe,hyperframe,0
humanize,humanize,0
httplib2,httplib2,0
html5lib,html5lib,0
hpack,hpack,0
h5py,h5py,0
h2,h2,0
grpc,grpc,0
geographiclib,geographiclib,0
elasticsearch,elasticsearch,0
concurrent,concurrent,0
_dummy_thread,_dummy_thread,0
functools32,functools32,0
flake8,flake8,0
filelock,filelock,0
faker,faker,0
execnet,execnet,0
importlib_resources,importlib_resources,0
ipython_genutils,ipython_genutils,0
msrest,msrest,0
msgpack,msgpack,0
mccabe,mccabe,0
maxminddb,maxminddb,0
markupsafe,markupsafe,0
lightgbm,lightgbm,0
kombu,kombu,0
kiwisolver,kiwisolver,0
junit_xml,junit_xml,0
jsonpickle,jsonpickle,0
jmespath,jmespath,0
jinja2,jinja2,0
itypes,itypes,0
isort,isort,0
iso3166,iso3166,0
elasticsearch6,elasticsearch6,0
docutils,docutils,0
xhtml2pdf,PIL,0
cachetools,cachetools,0
cachecontrol,cachecontrol,0
botocore,botocore,0
boto3,boto3,0
bleach,bleach,0
_billiard,_billiard,0
_bcrypt,_bcrypt,0
backports_abc,backports_abc,0
babel,babel,0
arabic_reshaper,arabic_reshaper,0
antlr4,antlr4,0
amqp,amqp,0
xmltodict,xmltodict,0
celery,celery,0
phonenumber_field,phonenumber_field,0
django_fields,django_fields,0
distlib,distlib,0
dill,dill,0
deprecated,deprecated,0
decorator,decorator,0
deap,deap,0
cycler,cycler,0
cssutils,cssutils,0
cssselect,cssselect,0
coreschema,coreschema,0
coreapi,coreapi,0
click,click,0
_multiprocess,_multiprocess,0
ndg,ndg,0
nose,nose,0
singledispatch,singledispatch,0
sqlparse,sqlparse,0
sortedcontainers,sortedcontainers,0
social_core,social_core,0
,,0
smmap,smmap,0
evolutionary_search,evolutionary_search,0
simplejson,simplejson,0
simplegeneric,simplegeneric,0
scipy,scipy,0
s3transfer,s3transfer,0
requests_toolbelt,requests_toolbelt,0
supervisor,supervisor,0
tabulate,tabulate,0
testfixtures,testfixtures,0
wrapt,wrapt,0
websocket,websocket,0
webencodings,webencodings,0
voluptuous,voluptuous,0
virtualenv,virtualenv,0
vine,vine,0
uritemplate,uritemplate,0
ujson,ujson,0
ua_parser,ua_parser,0
tzlocal,tzlocal,0
typing,typing,0
twilio,twilio,0
traitlets,traitlets,0
tqdm,tqdm,0
tornado,tornado,0
requests_oauthlib,requests_oauthlib,0
requests_aws4auth,requests_aws4auth,0
google,google,0
prompt_toolkit,prompt_toolkit,0
prometheus_client,prometheus_client,0
pp,pp,0
pox,pox,0
polyline,polyline,0
platformdirs,platformdirs,0
pkginfo,pkginfo,0
pickleshare,pickleshare,0
phonenumbers,phonenumbers,0
pexpect,pexpect,0
pathos,pathos,0
paramiko,paramiko,0
openapi_codec,openapi_codec,0
oauthlib,oauthlib,0
ptyprocess,ptyprocess,0
reportlab,reportlab,0
pycodestyle,pycodestyle,0
readme_renderer,readme_renderer,0
_yaml,_yaml,0
bidi,bidi,0
pytest_forked,pytest_forked,0
_pyrsistent_version,_pyrsistent_version,0
PyPDF2,PyPDF2,0
OpenSSL,OpenSSL,0
_sodium,_sodium,0
jwt,jwt,0
pygments,pygments,0
pyflakes,pyflakes,0
superlance,superlance,0
statsd,statsd,0
spur,spur,0
south,south,0
timeout_decorator,timeout_decorator,0
tox,tox,0
slacker,slacker,0
smartystreets_python_sdk,smartystreets_python_sdk,0
slackclient,slackclient,0
smtpapi,smtpapi,0
social_django,social_django,0
vcr,vcr,0
,argparse,0
user_agents,user_agents,0
unidecode,unidecode,0
xhtml2pdf,xhtml2pdf,0
wsgiref,wsgiref,0
word2number,word2number,0
webcolors,webcolors,0
version_parser,version_parser,0
twine,twine,0
trollius,trollius,0
pyasn1_modules,pyasn1_modules,0
django_twilio,django_twilio,0
timezone_field,timezone_field,0
docusign_esign,docusign_esign,0
dockerpycreds,dockerpycreds,0
docker,docker,0
dns,dns,0
refreshtoken,refreshtoken,0
rest_framework_jwt,rest_framework_jwt,0
storages,storages,0
django_s3,django_s3,0
static_sitemaps,static_sitemaps,0
django_seo_js,django_seo_js,0
elasticsearch6_dsl,elasticsearch6_dsl,0
elasticsearch_dsl,elasticsearch_dsl,0
entrypoints,entrypoints,0
factory,factory,0
flake8_formatter_junit_xml,flake8_formatter_junit_xml,0
filechunkio,filechunkio,0
fakeredis,fakeredis,0
docs,docs,0
curator,curator,0
editdistance,editdistance,0
easydict,easydict,0
drf_ujson,drf_ujson,0
rest_framework_extensions,rest_framework_extensions,0
avro,avro,0
boto,boto,0
click_plugins,click_plugins,0
codecov,codecov,0
cmake,cmake,0
cligj,cligj,0
ciso8601,ciso8601,0
bunch,bunch,0
circuitbreaker,circuitbreaker,0
cattr,cattr,0
apscheduler,apscheduler,0
apipkg,apipkg,0
analytics,analytics,0
auto_ml,auto_ml,0
astpath,astpath,0
asn1crypto,asn1crypto,0
argh,argh,0
colorama,colorama,0
json_field,json_field,0
ios_notifications,ios_notifications,0
fixture_magic,fixture_magic,0
django_extensions,django_extensions,0
loginas,loginas,0
rest_framework_swagger,rest_framework_swagger,0
request_id,request_id,0
redis_sessions,redis_sessions,0
ratelimit,ratelimit,0
django_pickling,django_pickling,0
django_nose,django_nose,0
mobi,mobi,0
bandit,bandit,0
cloghandler,cloghandler,0
delighted,delighted,0
defusedxml,defusedxml,0
deepdiff,deepdiff,0
ddt,ddt,0
Cython,Cython,0
confluent_kafka,confluent_kafka,0
debug_toolbar,debug_toolbar,0
crispy_forms,crispy_forms,0
corsheaders,corsheaders,0
configurations,configurations,0
dal,dal,0
appconf,appconf,0
dj_database_url,dj_database_url,0
deprecation,deprecation,0
messagebird,messagebird,0
meld3,meld3,0
munch,munch,0
ordereddict,ordereddict,0
planout,planout,0
pipdeptree,pip,0
piptools,piptools,0
pbr,pbr,0
netifaces,netifaces,0
oauth2,oauth2,0
numexpr,numexpr,0
nltk,nltk,0
newrelic,newrelic,0
matplotlib,matplotlib,0
lz4,lz4,0
mapbox,mapbox,0
lru,lru,0
lockfile,lockfile,0
lazy_object_proxy,lazy_object_proxy,0
Cryptodome,Cryptodome,0
pybind11,pybind11,0
pyoauth2,pyoauth2,0
_pydev_bundle,_pydev_bundle,0
execjs,execjs,0
pyfcm,pyfcm,0
pytest_cache,pytest_cache,0
phaxio,phaxio,0
_pyjq,_pyjq,0
PyICU,PyICU,0
pygerduty,pygerduty,0
premailer,premailer,0
psqlparse,psqlparse,0
psutil,psutil,0
pusher,pusher,0
psycopg2,psycopg2,0
jwcrypto,jwcrypto,0
flower,flower,0
flaky,flaky,0
geoip2,geoip2,0
freezegun,freezegun,0
foursquare,foursquare,0
flake8_isort,flake8_isort,0
flake8_polyfill,flake8_polyfill,0
IPython,IPython,0
invoke,invoke,0
ijson,ijson,0
jsonschema,jsonschema,0
grpc_reflection,grpc_reflection,0
hypertrack,hypertrack,0
git,git,0
geopy,geopy,0
grpc_tools,grpc_tools,0
hyper,hyper,0
hiredis,hiredis,0
hellosign_sdk,hellosign_sdk,0
h3,h3,0
